id_station_itinerance,id_pdc_itinerance,puissance_nominale
FRPD1PCORAMP,FRPD1ECORAMPEKOAE60023,60.0
FRTSLP13281,FRTSLE0003WF,250.0
FRETIP77333A,FRETIE77333A11,22.0
FRIOYP13530934,FRIOYE431403,350.0
FRSE1PSE54MSNA,FRSE1ESE54MSNA1,25.0
FRBMPP627973P,FRBMPEBMP2737,22.0
FREVAP01195A,FREVAE01195AB5CCS,150.0
FRPD1PMAVTAL,FRPD1EMAVTALBBC200032,50.0
FRPD1PMRCMEB,FRPD1EMRCMEBKPC100012,100.0
FRVIAP103103,FRVIAE10001169961,300.0
FRETIP44101A,FRETIE44101A15,22.0
FRETIP44101A,FRETIE44101A16,22.0
FRVIAP103103,FRVIAE10001170111,300.0
FRVIAP103103,FRVIAE10001169941,62.5
FRY03P78007001,FRY03E780070012,22.08
FRVIAP103103,FRVIAE10001170151,300.0
FRVIAP122051,FRVIAE12346378911,22.0
FRELCP12954207,FRELCEVE57,22.0
FREVZPB5729D3C597741F0BC6C55598672B,FREVZERUVI1,22.0
FRVIAP103103,FRVIAE10001170112,22.0
FRETIP44101A,FRETIE44101A17,2.299999952316284
FRVIAP103103,FRVIAE10001169943,300.0
FRVIAP102115,FRVIAE10001181161,300.0
FRVIAP122051,FRVIAE12346378922,22.0
FRVIAP103103,FRVIAE10001170153,300.0
FRVIAP102115,FRVIAE10001181402,300.0
FRVIAP103103,FRVIAE10001169942,22.0
FRVIAP102115,FRVIAE10001181202,22.0
FRVIAP102115,FRVIAE10001176681,300.0
FRVIAP102115,FRVIAE10001181162,300.0
FRELCP12953939,FRELCESKU5,300.0
FRPD1PEPSLRI,FRPD1EEPSLRIALF22021,22.0
FRPD1PFONCHT,FRPD1EFONCHTXBBC0011,200.0
FRELCP12954149,FRELCEQ7E9,300.0
FRSE1PSE77CVAA,FRSE1ESE77CVAA1,25.0
FRETIP44215E,FRETIE44215E11,22.0
FRPD1PMBLLAN,FRPD1EMBLLANUFC200023,50.0
FRPD1PPATARR,FRPD1EPATARRKPS200014,160.0
FRS77P772840073,FRS77E7728400732,22.8
FRGYMP735584,FRGYMEC12311013,47.0
FRDREP646760,FRDREE4256527,210.0
FRPD1PCCLVIR,FRPD1ECCLVIRNOV0011,120.0
FRDREP57487001,FRDREE4413026,22.0
FRBMPP627973P,FRBMPEBMP2764,22.0
FRETIP44215E,FRETIE44215E12,22.0
FRELCP12954154,FRELCEXLEQ,300.0
FRLDLPLFR3703EVCP,FRLDLE00000168,22.0
FRSE1PSE54MSNA,FRSE1ESE54MSNA2,22.0
FRPD1PGSTLPM,FRPD1EGSTLPMUFC200012,22.0
FRTSLP13281,FRTSLE0003WJ,250.0
FRY03P78009001,FRY03E780090012,22.08
FRDREP26146002,FRDREE4765762,22.0
FRELCP12953942,FRELCERP9U,300.0
FRVIAP122020,FRVIAE12346031322,300.0
FRVIAP122064,FRVIAE20122064062,22.0
FRVIAP122020,FRVIAE12346031312,300.0
FRVIAP122020,FRVIAE12346031321,300.0
FRVIAP122020,FRVIAE12346225521,22.0
FRVIAP122020,FRVIAE12346031332,300.0
FRVIAP122101,FRVIAE20122101051,22.0
FRVIAP122101,FRVIAE20122101021,300.0
FRVIAP122020,FRVIAE12346225511,22.0
FRVIAP122064,FRVIAE20122064071,22.0
FRVIAP101115,FRVIAE10001240782,300.0
FREVZPB94A91F729224868BBD61E47329EB,FREVZEAWEB1,120.0
FRPD1PFONCHT,FRPD1EFONCHTXBBC0012,50.0
FRBMPP230820P,FRBMPE9607,7.4
FRELCP12954036,FRELCEA8PJ,22.0
FRELCP12954400,FRELCE27LF,200.0
FRSE1PSE50HABA,FRSE1ESE50HABACP1,24.0
FRHPCPNF065203,FRHPCENF065203010,150.0
FRSE1PSE64LABA,FRSE1ESE64LABA2,22.0
FRSE1PSE77CVCA,FRSE1ESE77CVCACP1,25.0
FRVIAP101115,FRVIAE10001240771,300.0
FRSE1PSE54MXHA,FRSE1ESE54MXHA2,22.0
FRDREP135904042,FRDREE5263367,160.0
FRVIAP122239,FRVIAE20122239052,22.0
FRVIAP104105,FRVIAE12346063451,300.0
FRVIAP101115,FRVIAE10001231341,300.0
FRWA2P447784,FRWA2E3436305,22.0
FRHPCPNF066231,FRHPCENF066231004,300.0
FRVIAP101115,FRVIAE10001240711,300.0
FRETIP44215E,FRETIE44215E13,2.299999952316284
FRDREP646767,FRDREE4256541,210.0
FRIOYP13531466,FRIOYE485901,350.0
FRVIAP104105,FRVIAE12346063532,50.0
FRBMPP627973P,FRBMPEBMP2768,22.0
FRVIAP101115,FRVIAE10001205361,50.0
FRVIAP101115,FRVIAE10001241031,300.0
FRPD1PCCLVIR,FRPD1ECCLVIRNOV0012,120.0
FRDREP57487001,FRDREE4385162,240.0
FRHXWP05682,FRHXWEADLP20292,50.0
FRHXWP05682,FRHXWEADLP20301,50.0
FRPD1PSUPMOT,FRPD1ESUPMOTNOVA240022,160.0
FRVIAP104105,FRVIAE12346063462,300.0
FRSE1PSE91DCAA,FRSE1ESE91DCAACP1,24.0
FRY03P78030001,FRY03E780300012,22.08
FRECHPCSNFG,FRECHECSNFG2,22.0
FRVIAP101115,FRVIAE10001240712,300.0
FRLDLPLFR3357EVCP,FRLDLE00002831,120.0
FRIOYP13530975,FRIOYE414709,350.0
FRIOYP13531146,FRIOYE404552,50.0
FRSE1PSE50SLAA,FRSE1ESE50SLAA2,22.0
FRSE1PSE62AHCA,FRSE1ESE62AHCA1,25.0
FRIOYP13531326,FRIOYE486252,50.0
FRELCP12953989,FRELCE82FN,300.0
FRETIP44143B,FRETIE44143B11,22.0
FRELCP12954076,FRELCEZ94E,400.0
FRELCP12953889,FRELCEVA5N,150.0
FRSE1PSE77MXAB,FRSE1ESE77MXABCP1,24.0
FRA79P91072619,FRA79E12347482711,22.08
FRSE1PSE91BSAA,FRSE1ESE91BSAA2,22.0
FRBMPP627973P,FRBMPEBMP2770,22.0
FRPD1PSUPMOT,FRPD1ESUPMOTNOVA240021,160.0
FRDREP663011,FRDREE4311852,11.0
FRLDLPLFR3357EVCP,FRLDLE00002832,60.0
FRPD1PCORAMP,FRPD1ECORAMPEKOAE60022,22.0
FRELCP12954345,FRELCEZ6RN,300.0
FRTSLP1750,FRTSLE0004JT,150.0
FREVAP06012A,FREVAE06012AB4CCS1,300.0
FRTSLP13281,FRTSLE0003W1,250.0
FRLDLPLFR3744EVCP,FRLDLE00001922,22.0
FRY03P78030002,FRY03E780300022,22.08
FRLDLPLFR3981EVCP,FRLDLE00006841,120.0
FRELCP12954520,FRELCEUWHD,300.0
FRVIAP104105,FRVIAE12346063442,300.0
FRVIAP104105,FRVIAE12346063441,300.0
FRVIAP122056,FRVIAE12346402251,22.0
FRVIAP122056,FRVIAE12346402231,22.0
FRVIAP101107,FRVIAE10001180882,300.0
FRVIAP142096,FRVIAE20142096012,25.0
FRVIAP122056,FRVIAE12346402221,22.0
FRVIAP122056,FRVIAE12346402262,22.0
FRVIAP122056,FRVIAE12346031182,300.0
FRVIAP122056,FRVIAE12346402232,22.0
FRVIAP122056,FRVIAE12346031161,300.0
FRVIAP101107,FRVIAE10001180821,300.0
FRVIAP101107,FRVIAE10001180881,300.0
FRVIAP122056,FRVIAE12346031181,300.0
FRVIAP122056,FRVIAE12346031162,300.0
FRVIAP122056,FRVIAE12346402252,22.0
FRBMPP293070P,FRBMPE4467,22.0
FRBMPP200558P50035387499506,FRBMPE9224,22.0
FRHXWP05682,FRHXWEADLP20302,50.0
FRELCP12954644,FRELCELW2S,300.0
FRDREP24172000001,FRDREE4412945,22.0
FRELCP12954387,FRELCEUCB9,400.0
FRTSLP1753,FRTSLE00046X,150.0
FRHPCPNF079244,FRHPCENF079244002,300.0
FRSE1PSE76NADA,FRSE1ESE76NADA2,22.0
FRBMPP154414P50001382023099,FRBMPE1254,150.0
FR3R3P90882268,FR3R3E10001457011,150.0
FREVAP06012A,FREVAE06012AB1CCS1,300.0
FRPD1PEPCMTB,FRPD1EEPCMTBTIT120021,120.0
FREBNPBFGTM,FREBNEBFGTM1,22.0
FRLDLPLFR3665EVCP,FRLDLE00005425,120.0
FRPD1PFRESOY,FRPD1EFRESOYALFD22012,22.0
FRIOYP13531424,FRIOYE476153,50.0
FRSE1PSE54PYXA,FRSE1ESE54PYXA1,25.0
FRHXWP05682,FRHXWEADLP20311,50.0
FRYAWP91076231,FRYAWE12349013791,1200.0
FRVIAP101106,FRVIAE10001319551,300.0
FRVIAP101106,FRVIAE10001319552,300.0
FRVIAP101106,FRVIAE10001232101,300.0
FRVIAP101106,FRVIAE10001232102,300.0
FRVIAP101106,FRVIAE10001232111,300.0
FRVIAP101106,FRVIAE10001232112,300.0
FRVIAP101106,FRVIAE10001319531,300.0
FRVIAP101106,FRVIAE10001319532,300.0
FRVIAP101106,FRVIAE10001205481,50.0
FRVIAP101106,FRVIAE10001205482,22.0
FRTSLP424918,FRTSLE0PRNH8,250.0
FRELCP12954168,FRELCEMP62,50.0
FRVIAP104104,FRVIAE12346155012,300.0
FRVIAP122088,FRVIAE20122088031,300.0
FRVIAP104104,FRVIAE12346063552,50.0
FRVIAP104104,FRVIAE12346063562,50.0
FRVIAP122088,FRVIAE20122088042,300.0
FRVIAP104104,FRVIAE12346063472,300.0
FRVIAP122088,FRVIAE20122088032,300.0
FRVIAP122088,FRVIAE20122088012,300.0
FRVIAP104104,FRVIAE12346063553,22.0
FRVIAP122088,FRVIAE20122088022,300.0
FRY03P78030003,FRY03E780300032,22.08
FRELCP12954211,FRELCEGHHF,22.0
FRHPCPNF079244,FRHPCENF079244006,300.0
FRSE1PSE50SLAB,FRSE1ESE50SLAB1,22.0
FRPD1PFRYVEN,FRPD1EFRYVENALF0051,22.0
FRPD1PMATMRG,FRPD1EMATMRGKP0011,50.0
FRPD1PMATCHA02,FRPD1EMATCHAALF021,22.0
FRPD1PMATTHV,FRPD1EMATTHVKP0011,200.0
FRPD1PMATCHA02,FRPD1EMATCHAKPC20011,100.0
FRPD1PCRFMBA,FRPD1ECRFMBAKPC200016,100.0
FRPD1PIMCSEC,FRPD1EIMCSECEVBT50021,50.0
FRBMPP212717P50039586717609,FRBMPE4254,150.0
FRPD1PSYUPDV,FRPD1ESYUPDVEKA60011,50.0
FRPD1PSCIEZY,FRPD1ESCIEZYKPC100014,100.0
FRPD1PBDMGSY,FRPD1EBDMGSYKPC600012,150.0
FRPD1PDRTAUR,FRPD1EDRTAURKPC200017,100.0
FRPD1PSTWLCV,FRPD1ESTWLCVEKO0011,120.0
FRVIAP102113,FRVIAE10001181252,22.0
FRPD1PMRBALS01,FRPD1EMRBALSKMP200024,100.0
FRPD1PMBRMAU,FRPD1EMBCMAUBBC200022,50.0
FRPD1PSTJSJS,FRPD1ESTJSJSKPC200015,200.0
FRPD1PMRCVFT,FRPD1EMRCVFTKPS200013,22.0
FRPD1PCAPORL,FRPD1ECAPORLKP200014,160.0
FRPD1PACCVDA,FRPD1EACCVDAKPC50013,22.0
FRPD1PACCSTE,FRPD1EACCSTEKPS200011,200.0
FRVIAP102113,FRVIAE10001181251,300.0
FRETIP77284A,FRETIE77284A12,150.0
FRPD1PCORTOL,FRPD1ECORTOLSLM100012,22.0
FRPD1PACTAGL,FRPD1EACTAGLBBC200014,200.0
FRELCP12954183,FRELCE5HGN,300.0
FRPD1PBBFLMG,FRPD1EBBFLMGNOV240011,160.0
FRETIP44009A,FRETIE44009A12,22.0
FRVIAP102113,FRVIAE10001181253,300.0
FRVIAP102113,FRVIAE10001225492,300.0
FRVIAP102113,FRVIAE10001225491,300.0
FRPD1PCORLPD,FRPD1ECORLPDKP1000012,120.0
FRETIP44009A,FRETIE44009A13,2.299999952316284
FRPD1PMBLFOS,FRPD1EMBLFOSUFC200013,100.0
FRSE1PSE14CABA,FRSE1ESE14CABA2,22.0
FRY03P78043002,FRY03E780430021,22.08
FRPD1PETXBSC,FRPD1EETXBSCKPC200014,181.0
FRSE1PSE77NABA,FRSE1ESE77NABACP1,24.0
FRPD1PCORGLG,FRPD1ECORGLGKPS200011,200.0
FRPD1PITMLBU,FRPD1EITMLBUKPS200014,200.0
FRATLPFR00891,FRATLE101952,300.0
FRETIP59036A,FRETIE59036A15,22.0
FRPD1PLCLLFL,FRPD1ELCLLFLKMP600017,200.0
FRPD1PLAFBER,FRPD1ELABERKMP600014,200.0
FRPD1PCTIBGL01,FRPD1ECTIBGLKPC200013,100.0
FRPD1PBRCEST,FRPD1EBRCESTEKAE60013,60.0
FRPD1PVLYNCE,FRPD1EVLYNCEIES240052,22.0
FRPD1PIMCHAZ,FRPD1EIMCHAZKPC50032,50.0
FRPD1PITMSMA02,FRPD1EITMSMAKPC200012,100.0
FRPD1PMARFRE,FRPD1EMARFREALF0031,22.0
FRPD1PSOMTLS,FRPD1ESOMTLSBBC200014,200.0
FRPD1PHOLPAR,FRPD1EHOLPARKPC200013,50.0
FRPD1PSYULPT,FRPD1ESYULPTALFS220011,22.0
FRPD1PCORAVD,FRPD1ECORAVDKPC502,50.0
FRPD1PITMRBM,FRPD1EITMRBMSLM100012,50.0
FRPD1PIMCSRT,FRPD1EIMCSRTKPC013,22.0
FRPD1PLECCHO,FRPD1ELECCHOKMP600011,50.0
FRPD1PINTSAR,FRPD1EINTSARKP0021,50.0
FRHXWP05682,FRHXWEADLP20312,50.0
FRBMPP154414P50001382023099,FRBMPE2726,150.0
FRPD1PITMSVS,FRPD1EITMSVSALF22011,22.0
FRVIAP104101,FRVIAE12346219561,300.0
FRPD1PBRCLVR,FRPD1EBRCLVRNOVA240021,160.0
FRPD1PEPCMTB,FRPD1EEPCMTBALFS22011,22.0
FRBMPP649747P,FRBMPE9410,3.7
FRPD1PBBFCOR,FRPD1EBBFCORTTN120022,50.0
FRPD1PINTJAR,FRPD1EINTJARBBC0011,200.0
FRVIAP101101,FRVIAE10001180842,300.0
FRVIAP101101,FRVIAE10001180902,300.0
FRVIAP101101,FRVIAE10001180901,300.0
FRPD1PITMSTQ,FRPD1EITMSTQKPC200014,100.0
FRPD1PPATIDA02,FRPD1EPATIDAKPS200015,80.0
FRELCP12953993,FRELCEE48V,300.0
FRETIP34172U,FRETIE34172U12,22.0
FRPD1PALDCPT,FRPD1EALDCPTUFC200021,100.0
FRPD1PMRIFRS,FRPD1EMRIFRSKPC100012,100.0
FRETIP34172U,FRETIE34172U13,22.0
FRY03P78043002,FRY03E780430022,22.08
FRELCP12954143,FRELCE6338,200.0
FRS50P5015850065203767938,FRS50E501580012,22.0
FRPD1PFRESOY,FRPD1EFRESOYALFD22031,22.0
FRDREP663011,FRDREE4311873,7.4
FRHXWP02933,FRHXWEADLP3LS0071,7.0
FREBNPBNENU,FREBNEBNENU2,22.0
FRLDLPLFR4357EVCP,FRLDLE00004571,120.0
FRBMPP649747P,FRBMPE4749,3.7
FRVIAP103114,FRVIAE10001390463,22.0
FRETIP34172U,FRETIE34172U15,2.299999952316284
FRETIP01043A,FRETIE01043A13,100.0
FRTSLP417275,FRTSLE41D5WS,250.0
FRBMPP176541P,FRBMPE7294,22.0
FRELCP12953993,FRELCEKKRH,300.0
FRLDLPLFR4080EVCP,FRLDLE00005078,22.0
FRS77P77370001,FRS77E773700011,22.8
FRS50P5014750086321117317,FRS50E501470061,30.0
FRIOYP13530965,FRIOYE412304,350.0
FRELCP12954479,FRELCEXHK2,50.0
FRVIAP101101,FRVIAE10001205401,50.0
FRVIAP122069,FRVIAE20122069022,300.0
FRVIAP103114,FRVIAE10001170213,300.0
FRVIAP103114,FRVIAE10001170202,22.0
FRVIAP142003,FRVIAE20142003011,50.0
FRVIAP122069,FRVIAE20122069032,300.0
FRVIAP103114,FRVIAE10001170192,22.0
FRVIAP142003,FRVIAE20142003012,50.0
FRVIAP122069,FRVIAE20122069052,22.0
FRVIAP103114,FRVIAE10001170203,300.0
FRVIAP103114,FRVIAE10001390472,50.0
FRSE1PSE62NMBA,FRSE1ESE62NMBACP1,24.0
FRY03P78043003,FRY03E780430031,22.08
FRELCP12953900,FRELCEV3AF,150.0
FRELCP12954642,FRELCERWBJ,300.0
FRSE1PSE52BACA,FRSE1ESE52BACA2,22.0
FRELCP12954427,FRELCET4WQ,400.0
FRZUNP2771348324096144223,FRZUNE1111ER6,300.0
FRPD1PFONCHT,FRPD1EFONCHTXBBC0014,200.0
FRELCP13184625,FRELCENMQP,300.0
FRHPCPNF078386TOTEM,FRHPCENF078386006,150.0
FREVAP06012A,FREVAE06012AB3CCS2,300.0
FRHXWP02933,FRHXWEADLP3LS0221,7.0
FRVIAP103106,FRVIAE10001169813,300.0
FRPD1PITMLGW,FRPD1EITMLGWKPC100011,100.0
FRBMPP226003P50043055561203,FRBMPE6055,150.0
FRIOYP13531125,FRIOYE410006,350.0
FRDREP646760,FRDREE4376254,22.0
FRELCP12954203,FRELCEEEPN,400.0
FRELCP12954212,FRELCEMU4V,50.0
FRZUNP2771348324096144223,FRZUNE1111ER7,300.0
FRBMPP649747P,FRBMPE6868,3.7
FRLDLPLFR3348EVCP,FRLDLE00005805,22.0
FRS50P5014750086321117317,FRS50E501470062,22.0
FRVIAP142034,FRVIAE20142034013,22.0
FRVIAP103106,FRVIAE10001169802,22.0
FRVIAP103106,FRVIAE10001169801,300.0
FRVIAP122089,FRVIAE20122089052,22.0
FRVIAP122089,FRVIAE20122089061,22.0
FRVIAP122045,FRVIAE12346355142,22.0
FRVIAP142106,FRVIAE20142106022,300.0
FRVIAP122089,FRVIAE20122089042,300.0
FRVIAP122089,FRVIAE20122089071,22.0
FRVIAP122045,FRVIAE12346031111,300.0
FRVIAP122045,FRVIAE12346031122,300.0
FRVIAP122089,FRVIAE20122089041,300.0
FRVIAP122089,FRVIAE20122089011,300.0
FRVIAP122089,FRVIAE20122089051,22.0
FRVIAP122089,FRVIAE20122089072,22.0
FRELCP12954387,FRELCEUQE8,400.0
FRVIAP142034,FRVIAE20142034012,25.0
FRY03P78043004,FRY03E780430041,22.08
FRELCP13003874,FRELCE2GD9,300.0
FRDREP24172000001,FRDREE4412958,22.0
FRELCP12953916,FRELCEZJXQ,150.0
FRPD1PFONCHT,FRPD1EFONCHTXALF0041,22.0
FRSE1PSE53EABA,FRSE1ESE53EABA2,22.0
FRELCPLILIM,FRELCEWSGU,22.0
FRHPCPNF058969TOTEMSA,FRHPCENF058969010,150.0
FRSE1PSE88CABA,FRSE1ESE88CABA1,24.0
FREVAP06012A,FREVAE06012AB3T2,22.0
FRPD1PFRESOY,FRPD1EFRESOYALFD22032,22.0
FRLDLPLFR3723EVCP,FRLDLE00000930,22.0
FRPD1PSUPMOT,FRPD1ESUPMOTNOVA240012,160.0
FRR3MP1096129,FRR3ME5572762,180.0
FRIOYP13531125,FRIOYE410053,50.0
FRELCP12954645,FRELCE5HWS,300.0
FRETIP02789A,FRETIE02789A12,150.0
FRLDLPLFR4358EVCP,FRLDLE00005863,300.0
FRMFCPLAROCHELLE,FRMFCELAROCHELLE344,320.0
FRLDLPLFR4358EVCP,FRLDLE00005864,150.0
FRDREP646758,FRDREE4376305,210.0
FRBMPP627973P,FRBMPEBMP2744,22.0
FRWA2P631977,FRWA2E3736960,47.0
FRIOYP13530804,FRIOYE409553,50.0
FRWA2P524837,FRWA2E3733375,22.0
FRVIAP122092,FRVIAE20122092021,300.0
FRIOYP13530973,FRIOYE451651,43.0
FRVIAP103106,FRVIAE10001169821,300.0
FRVIAP103106,FRVIAE10001169823,300.0
FRVIAP122011,FRVIAE12346057111,22.0
FRVIAP122011,FRVIAE12346029862,300.0
FRVIAP125004,FRVIAE20125004021,300.0
FRVIAP122011,FRVIAE12346029861,300.0
FRVIAP125004,FRVIAE20125004031,300.0
FRVIAP122034,FRVIAE12346030122,300.0
FRVIAP122034,FRVIAE12346030112,300.0
FRVIAP122034,FRVIAE12346030121,300.0
FRVIAP122034,FRVIAE12346276372,22.0
FRELCP12953976,FRELCE2MXV,300.0
FRPD1PFONCHT,FRPD1EFONCHTXBBC0013,200.0
FRELCP12954824,FRELCEN32R,300.0
FRY03P78043005,FRY03E780430051,22.08
FRS77P77431001,FRS77E774310011,22.8
FRELCP12954131,FRELCE8N8E,200.0
FRS77P77285001,FRS77E772850011,22.8
FRELCP12954070,FRELCEHZ63,300.0
FRHPCPNF059645,FRHPCENF059645002,300.0
FRS77P77016001,FRS77E770160012,22.8
FRVIAP103112,FRVIAE10001169951,300.0
FRBMPP150397P,FRBMPE4828,22.0
FRVIAP103112,FRVIAE10001170163,300.0
FRVIAP122061,FRVIAE20122061032,300.0
FRTSLP30029,FRTSLE1713VP,250.0
FREVAP06012A,FREVAE06012AB2CHADEMO,50.0
FRDREP646758,FRDREE4376307,22.0
FRSE1PSE55BYBA,FRSE1ESE55BYBA2,50.0
FRPD1PSUPMOT,FRPD1ESUPMOTNOVA240011,160.0
FRETIP05170,FRETIE05170A15,22.0
FRVIAP122076,FRVIAE20122076051,22.0
FRHPCPNF059645,FRHPCENF059645006,300.0
FRTSLP1747,FRTSLEA4T9XC,150.0
FRSE1PSE54CABA,FRSE1ESE54CABA2,22.0
FRHPCPNF078182,FRHPCENF078182003,150.0
FRVIAP122061,FRVIAE20122061012,300.0
FRS50P5014750086321117317,FRS50E501470063,30.0
FRZEEP90352337,FRZEEE12346500711,22.08
FRIOYP13531125,FRIOYE410072,400.0
FRY03P78043006,FRY03E780430062,22.08
FRELCP12954658,FRELCEMMDA,300.0
FRY03P78049001,FRY03E780490011,22.08
FRELCP12954446,FRELCE9DMH,50.0
FRLDLPLFR3590EVCP,FRLDLE00001455,120.0
FRLDLPLFR3590EVCP,FRLDLE00001456,120.0
FRELCP12954621,FRELCE94CQ,300.0
FRLDLPLFR3310EVCP,FRLDLE00005089,22.0
FRVIAP122061,FRVIAE20122061021,300.0
FRELCP12953963,FRELCEHBTT,400.0
FRHPCP33260,FRHPCE332600011,400.0
FRPD1PCORAMP,FRPD1ECORAMPEKOAE60043,120.0
FRELCP12953922,FRELCEAV2S,300.0
FRSE1PSE77TABA,FRSE1ESE77TABA2,22.0
FRELCP12954117,FRELCE7WFR,300.0
FRELCP12954200,FRELCE3SNJ,200.0
FRSE1PSE86PABA,FRSE1ESE86PABACP1,24.0
FRELCP12954681,FRELCERYD8,300.0
FRTSLP1753,FRTSLE7W9RTS,387.0
FRSRGP90357521,FRSRGE12346509701,22.08
FRDREP646754,FRDREE4384897,210.0
FRS77P77131007,FRS77E771310071,25.2
FRVIAP111104,FRVIAE20111104012,400.0
FRIOYP13531424,FRIOYE476173,400.0
FRELCPPUTPA,FRELCE2MJB,200.0
FRALLPGO900939,FRALLEGO9009392,150.0
FRR3MP1063571,FRR3ME5372113,22.0
FRPD1PSUPMOT,FRPD1ESUPMOTNOVA240031,160.0
FRIOYP13530804,FRIOYE409563,22.0
FRWA2P531996,FRWA2E3756643,22.0
FRELCP12953935,FRELCEXGC6,300.0
FRY03P78049001,FRY03E780490012,22.08
FRVIAP142036,FRVIAE20142036012,25.0
FRVIAP122080,FRVIAE20122080012,300.0
FRVIAP103104,FRVIAE10001169773,300.0
FRVIAP122080,FRVIAE20122080052,22.0
FRVIAP142063,FRVIAE20142063011,25.0
FRVIAP103104,FRVIAE10001169771,300.0
FRVIAP103104,FRVIAE10001169793,300.0
FRVIAP122080,FRVIAE20122080032,300.0
FRVIAP142036,FRVIAE20142036013,22.0
FRVIAP101109,FRVIAE10001205451,50.0
FRVIAP101109,FRVIAE10001229582,300.0
FRVIAP142063,FRVIAE20142063013,22.0
FRVIAP103104,FRVIAE12346122072,22.0
FRVIAP142069,FRVIAE20142069011,50.0
FRVIAP142019,FRVIAE20142019013,22.0
FRPD1PAUCVIL,FRPD1EAUCVILKPC200012,200.0
FRETIP83115C,FRETIE83115C11,22.0
FRLDLPLFR2707EVCP,FRLDLE00006549,22.0
FRLDLPLFR2707EVCP,FRLDLE00006550,22.0
FRELCP12953968,FRELCEYUB8,150.0
FRSE1PSE55BYBA,FRSE1ESE55BYBA3,22.0
FRELCP12953967,FRELCE2AKA,22.0
FRELCP12954057,FRELCENHZC,22.0
FRBMPP154411P50053482052097,FRBMPE5349,150.0
FRELCP12954137,FRELCELTWB,300.0
FRV75PPX0807,FRV75EPX08075,7.0
FRTSLP33157,FRTSLE0NBHL0,250.0
FRVIAP103104,FRVIAE12346122071,300.0
FRPD1PSUPMOT,FRPD1ESUPMOTNOVA240032,160.0
FRLDLPLFR4216EVCP,FRLDLE00005372,60.0
FRTSLP30513,FRTSLE00L5TD,250.0
FRSE1PSE57RABA,FRSE1ESE57RABA1,25.0
FRSE1PSE67SVBA,FRSE1ESE67SVBA2,22.0
FRTSLP1759,FRTSLE0KYG39,250.0
FRTSLP1763,FRTSLE41JANL,250.0
FRTSLP31398,FRTSLE8SME3H,250.0
FRBMPP212706P50042044913951,FRBMPE1411,150.0
FRVIAP102106,FRVIAE10001181222,22.0
FRDREP646754,FRDREE4384898,22.0
FRVIAP102106,FRVIAE10001476501,300.0
FRELCP12954213,FRELCE7P3N,50.0
FRHPCP33260,FRHPCE332600012,400.0
FREVAP06012A,FREVAE06012AB2CCS2,300.0
FRVIAP102106,FRVIAE10001476502,300.0
FRELCP12954125,FRELCEWZ2N,300.0
FRVIAP101114,FRVIAE10001205422,22.0
FRVIAP101114,FRVIAE10001205421,50.0
FRVIAP101114,FRVIAE10001181022,300.0
FRIOYP13530973,FRIOYE451655,50.0
FRVIAP103104,FRVIAE10001169831,300.0
FRVIAP142053,FRVIAE20142053012,25.0
FRVIAP101114,FRVIAE10001180992,300.0
FRVIAP101114,FRVIAE10001181412,300.0
FRVIAP101114,FRVIAE10001180912,300.0
FRVIAP122045,FRVIAE12346031102,300.0
FRVIAP101114,FRVIAE10001180932,300.0
FRVIAP122045,FRVIAE12346031132,300.0
FRVIAP101114,FRVIAE10001180951,300.0
FRVIAP142053,FRVIAE20142053011,25.0
FRY03P78049002,FRY03E780490022,22.08
FRELCP12954400,FRELCEPFA7,400.0
FRELCP12953911,FRELCEPYTL,300.0
FRHPCPNF072301,FRHPCENF072301006,300.0
FRSE1PSE57ABFA,FRSE1ESE57ABFA2,22.0
FRSE1PSE63DABA,FRSE1ESE63DABA2,22.0
FRSE1PSE91CABA,FRSE1ESE91CABACP1,24.0
FRSE1PSE59DAFB,FRSE1ESE59DAFB2,22.0
FRHPCP33260,FRHPCE332600021,200.0
FRVIAP102112,FRVIAE10001181481,300.0
FRIOYP13530969,FRIOYE431572,200.0
FRVIAP101113,FRVIAE10001232001,300.0
FRPD1PMBCHDY,FRPD1EMBCHDYUFC200012,22.0
FRBMPP200558P50035387499506,FRBMPE3383,22.0
FRVIAP101113,FRVIAE10001205431,50.0
FRR3MP897296,FRR3ME5001829,180.0
FRVIAP101113,FRVIAE10001231971,300.0
FRHPCPNF078072,FRHPCENF078072009,300.0
FREVAP06012A,FREVAE06012AB2T2,22.0
FRR3MP1064215,FRR3ME5374702,180.0
FRIOYP13530847,FRIOYE403976,200.0
FRPD1PMBLFOS,FRPD1EMBLFOSUFC200022,22.0
FRETIP09282A,FRETIE09282A14,100.0
FRATLPFR00287,FRATLE005592,150.0
FRELCP12954481,FRELCEU42B,300.0
FRELCP12953941,FRELCE2SEH,300.0
FRVIAP102118,FRVIAE10001181331,300.0
FRVIAP104111,FRVIAE10001475732,22.0
FRVIAP102112,FRVIAE10001181483,300.0
FRVIAP104111,FRVIAE10001475731,62.5
FRVIAP104111,FRVIAE10001475722,300.0
FRVIAP104111,FRVIAE10001475751,22.0
FRVIAP102118,FRVIAE10001181341,300.0
FRELCP12954146,FRELCEHD55,300.0
FRHPCP33260,FRHPCE332600022,200.0
FRLDLPLFR4024EVCP,FRLDLE00005809,22.0
FRLDLPLFR4024EVCP,FRLDLE00005810,22.0
FRY03P78050001,FRY03E780500012,22.08
