index,region,dept,com
186,11,78,78335
187,24,37,37208
188,84,43,43021
189,52,72,72006
190,76,31,31511
191,52,72,72034
192,75,33,33456
193,27,39,39304
194,32,62,62050
195,44,08,08192
196,27,70,70160
197,76,11,11199
198,44,67,67166
199,32,02,02461
200,75,64,64112
201,44,51,51301
202,84,63,63348
203,28,14,14044
204,,,50380
205,76,31,31386
206,24,28,28326
207,76,11,11409
208,76,31,31105
209,75,86,86002
210,27,39,39192
211,28,76,76112
212,76,34,34268
213,44,10,10254
214,44,54,54109
215,76,11,11373
216,84,74,74210
217,75,17,17262
218,76,31,31031
219,28,76,76417
220,44,88,88415
221,,,73003
222,44,55,55304
223,27,90,90093
224,32,80,80197
225,32,60,60017
226,44,10,10228
227,44,57,57663
228,28,76,76757
229,76,32,32070
230,84,73,73311
231,11,75,75104
232,44,52,52145
233,75,23,23240
234,84,03,03244
235,75,79,79137
236,76,34,34037
237,76,12,12229
238,27,70,70119
239,27,58,58306
240,75,17,17226
241,84,38,38044
242,32,59,59655
243,75,33,33069
244,,,55455
245,84,38,38488
246,76,66,66101
247,84,01,01334
248,44,51,51638
249,32,80,80050
250,84,01,01125
251,32,80,80554
252,75,33,33384
253,28,76,76465
254,44,10,10230
255,44,51,51270
256,84,42,42297
257,,,24316
258,44,08,08457
259,76,34,34327
260,,,51664
261,32,62,62456
262,76,34,34328
263,84,63,63119
264,75,33,33447
265,32,60,60392
266,,,14632
267,11,78,78126
268,76,34,34048
269,32,59,59178
270,27,70,70577
271,27,39,39328
272,44,68,68345
273,84,63,63368
274,,,67495
275,,,45106
276,53,22,22073
277,24,37,37271
278,24,28,28212
279,11,95,95205
280,28,27,27669
281,11,91,91228
282,32,80,80086
283,,,41210
284,27,39,39055
285,,,35308
286,32,62,62551
287,84,73,73120
288,27,58,58095
289,84,38,38149
290,44,67,67389
291,75,86,86041
292,11,92,92040
293,27,21,21694
294,84,38,38017
295,44,54,54063
296,93,06,06160
297,44,67,67221
298,,,46287
299,76,48,48012
300,84,07,07104
301,76,11,11428
302,27,25,25413
303,76,12,12290
304,52,72,72311
305,24,18,18104
306,44,57,57517
307,84,07,07036
308,52,53,53021
309,,,74182
310,76,65,65291
311,84,38,38555
312,75,23,23192
313,75,17,17008
314,32,59,59491
315,,,80492
316,27,71,71431
317,,,68162
318,44,51,51381
319,75,17,17223
320,32,59,59029
321,,,52387
322,28,61,61030
323,75,47,47187
324,52,44,44162
325,27,21,21674
326,44,68,68227
327,75,24,24316
328,,,73187
329,28,50,50523
330,84,63,63247
331,44,10,10393
332,75,33,33047
333,32,62,62132
334,03,973,97306
335,75,64,64095
336,76,66,66041
337,75,24,24399
338,28,50,50069
339,32,62,62726
340,32,62,62600
341,84,38,38442
342,27,58,58240
343,44,68,68373
344,32,80,80673
345,52,49,49373
346,75,23,23240
347,44,54,54008
348,11,95,95427
349,44,88,88285
350,27,25,25588
351,76,48,48059
352,76,32,32140
353,32,62,62806
354,28,27,27070
355,52,53,53213
356,84,42,42124
357,76,09,09014
358,93,13,13080
359,76,48,48174
360,32,80,80793
361,28,76,76667
362,93,06,06023
363,,,40107
364,84,42,42106
365,84,63,63138
366,28,76,76396
367,75,33,33357
368,27,21,21075
369,28,27,27009
370,84,38,38383
371,44,55,55206
372,28,14,14587
373,84,42,42305
374,84,43,43165
375,,,14081
376,27,58,58006
377,32,02,02076
378,53,29,29025
379,84,07,07028
380,27,39,39052
381,75,64,64554
382,75,17,17094
383,32,60,60033
384,44,68,68250
385,53,35,35001
386,32,02,02576
387,27,39,39091
388,52,72,72101
389,28,76,76166
390,24,18,18104
391,93,84,84060
392,75,16,16285
393,,,53207
394,27,70,70406
395,93,84,84104
396,84,26,26300
397,75,79,79269
398,52,85,85245
399,32,62,62451
400,27,90,90023
401,52,85,85094
402,53,29,29298
403,,,38163
404,44,57,57086
405,75,40,40052
406,76,46,46210
407,27,89,89400
408,32,02,02227
409,44,54,54304
410,,,69211
411,76,30,30090
412,53,29,29040
413,32,60,60152
414,84,38,38284
415,32,62,62557
416,44,52,52528
417,84,42,42235
418,76,34,34151
419,44,08,08364
420,27,21,21546
421,28,27,27652
422,28,76,76155
423,28,14,14055
424,52,49,49113
425,93,05,05097
426,93,05,05160
427,44,67,67449
428,93,84,84077
429,84,74,74099
430,84,38,38527
431,53,35,35327
432,76,34,34175
433,44,54,54162
434,84,69,69174
435,76,66,66186
436,44,52,52544
437,76,65,65077
438,11,77,77098
439,76,34,34294
440,24,36,36172
441,76,11,11391
442,53,56,56057
443,,,50346
444,52,53,53161
445,,,22066
446,76,66,66216
447,76,82,82019
448,44,88,88074
449,44,52,52495
450,44,57,57626
451,27,25,25546
452,84,38,38341
453,11,78,78020
454,76,66,66044
455,75,40,40196
456,44,08,08084
457,84,01,01025
458,44,55,55533
459,76,34,34166
460,93,06,06067
461,32,62,62907
462,,,50063
463,75,17,17109
464,28,61,61438
465,27,39,39412
466,76,31,31060
467,52,72,72049
468,84,07,07270
469,76,30,30028
470,27,58,58207
471,76,31,31449
472,94,2B,2B305
473,52,53,53057
474,52,85,85082
475,24,45,45335
476,75,64,64365
477,75,33,33209
478,32,62,62303
479,76,32,32044
480,84,03,03017
481,,,15047
482,76,09,09119
483,,,15268
484,94,2A,2A011
485,,,77351
486,32,62,62444
487,27,70,70478
488,24,41,41174
489,84,73,73098
490,75,17,17063
491,32,62,62416
492,28,76,76636
493,44,55,55080
494,11,95,95379
495,44,10,10050
496,32,59,59190
497,27,89,89016
498,28,61,61056
499,52,44,44031
500,75,17,17426
501,24,28,28404
502,75,64,64014
503,28,27,27578
504,32,62,62744
505,32,02,02451
506,75,79,79217
507,75,17,17079
508,75,24,24375
509,75,16,16112
510,27,71,71270
511,44,57,57684
512,32,60,60320
513,76,82,82164
514,76,46,46143
515,76,65,65047
516,52,49,49353
517,75,86,86109
518,27,71,71371
519,44,57,57346
520,28,50,50597
521,53,29,29169
522,44,57,57536
523,32,02,02013
524,75,40,40111
525,44,52,52344
526,75,23,23208
527,44,67,67169
528,76,81,81140
529,84,63,63082
530,44,88,88474
531,44,55,55148
532,93,05,05123
533,84,01,01169
534,32,62,62765
535,76,81,81321
536,75,64,64502
537,84,69,69166
538,44,68,68136
539,75,16,16104
540,28,76,76483
541,44,52,52267
542,84,74,74126
543,44,68,68351
544,76,81,81251
545,27,21,21219
546,84,01,01017
547,53,22,22002
548,27,70,70292
549,52,44,44088
550,84,07,07013
551,,,67419
552,,,50001
553,84,42,42169
554,75,17,17478
555,76,65,65219
556,44,88,88097
557,44,67,67355
558,32,62,62490
559,,,61205
560,76,34,34146
561,32,80,80628
562,28,50,50302
563,32,62,62752
564,11,78,78263
565,44,54,54380
566,27,21,21339
567,32,02,02537
568,28,27,27106
569,84,42,42329
570,27,71,71242
571,44,52,52015
572,52,49,49125
573,24,45,45021
574,44,52,52505
575,27,58,58217
576,24,18,18180
577,76,82,82039
578,,,49380
579,52,53,53140
580,84,63,63365
581,75,64,64214
582,44,88,88115
583,93,05,05084
584,84,03,03287
585,32,59,59477
586,27,39,39137
587,27,58,58121
588,84,43,43190
589,,,48084
590,27,25,25247
591,84,03,03076
592,84,01,01248
593,76,12,12075
594,44,52,52170
595,76,32,32056
596,27,89,89405
597,44,57,57683
598,44,55,55050
599,,,23149
600,75,17,17082
601,44,68,68363
602,44,68,68183
603,32,62,62077
604,76,32,32376
605,76,32,32155
606,32,62,62247
607,44,10,10264
608,24,45,45034
609,44,55,55323
610,44,88,88324
611,32,80,80801
612,76,12,12099
613,53,22,22101
614,27,39,39522
615,75,40,40137
616,32,60,60499
617,52,53,53022
618,32,60,60203
619,28,50,50519
620,53,22,22092
621,32,62,62573
622,28,50,50445
623,84,63,63087
624,27,21,21586
625,24,37,37014
626,75,79,79170
627,27,71,71549
628,53,56,56051
629,,,52454
630,24,37,37082
631,32,59,59492
632,,,55542
633,44,57,57754
634,32,80,80803
635,94,2A,2A132
636,27,70,70491
637,76,81,81243
638,27,58,58053
639,75,87,87057
640,44,57,57237
641,32,80,80270
642,44,57,57514
643,32,02,02306
644,,,24112
645,11,91,91654
646,44,55,55225
647,,,17189
648,44,10,10037
649,27,58,58310
650,11,77,77259
651,75,47,47287
652,28,50,50463
653,44,51,51473
654,28,50,50144
655,44,51,51192
656,24,37,37077
657,52,53,53132
658,44,54,54082
659,28,50,50382
660,76,32,32417
661,93,84,84133
662,53,35,35130
663,44,67,67074
664,28,50,50433
665,52,53,53087
666,27,70,70483
667,44,55,55510
668,27,39,39163
669,32,62,62665
670,84,63,63446
671,44,08,08133
672,93,05,05099
673,32,62,62852
674,44,55,55097
675,32,80,80390
676,32,80,80029
677,84,63,63240
678,44,54,54211
679,44,54,54287
680,24,18,18099
681,28,50,50413
682,44,55,55129
683,,,24530
684,28,27,27572
685,,,16391
686,75,16,16334
687,44,67,67150
688,84,15,15254
689,76,09,09158
690,75,19,19279
691,84,15,15215
692,,,14456
693,84,38,38511
694,94,2B,2B112
695,32,02,02649
696,,,50484
697,75,24,24407
698,53,35,35314
699,27,21,21286
700,24,18,18134
701,84,07,07088
702,93,84,84063
703,27,71,71088
704,28,61,61435
705,32,02,02220
706,27,90,90002
707,44,08,08449
708,84,74,74098
709,84,07,07249
710,75,33,33369
711,84,26,26084
712,24,45,45183
713,75,24,24195
714,76,34,34073
715,,,80007
716,32,60,60561
717,75,40,40127
718,11,77,77144
719,75,17,17041
720,75,87,87105
721,44,67,67312
722,76,11,11194
723,28,14,14003
724,11,91,91249
725,84,07,07123
726,44,57,57160
727,75,23,23165
728,32,80,80725
729,53,29,29070
730,94,2A,2A104
731,32,59,59322
732,84,74,74282
733,53,56,56011
734,75,87,87121
735,52,53,53190
736,44,67,67201
737,24,37,37080
738,32,62,62102
739,76,32,32089
740,27,25,25026
741,75,87,87123
742,84,73,73242
743,44,54,54313
744,75,17,17012
745,53,22,22330
746,24,28,28214
747,11,77,77390
748,32,80,80108
749,53,22,22228
750,27,71,71442
751,94,2A,2A098
752,44,10,10291
753,,,24540
754,44,52,52380
755,24,28,28226
756,52,85,85115
757,75,16,16076
758,11,78,78498
759,32,02,02279
760,84,74,74015
761,84,38,38174
762,84,43,43169
763,75,17,17181
764,24,36,36043
765,44,54,54564
766,75,24,24381
767,76,65,65338
768,84,26,26281
769,75,47,47163
770,84,15,15070
771,27,70,70250
772,44,08,08022
773,84,07,07097
774,27,70,70361
775,27,39,39273
776,44,67,67495
777,75,79,79066
778,44,54,54510
779,24,18,18010
780,75,64,64474
781,32,60,60292
782,27,39,39342
783,32,60,60232
784,75,79,79223
785,53,35,35299
786,76,11,11251
787,44,55,55502
788,76,31,31195
789,44,10,10050
790,93,04,04062
791,28,76,76317
792,11,91,91338
793,76,66,66040
794,52,53,53273
795,44,54,54236
796,11,77,77408
797,,,35341
798,27,70,70039
799,76,12,12301
800,76,30,30188
801,32,60,60630
802,75,19,19249
803,44,08,08393
804,,,52279
805,32,59,59234
806,11,78,78437
807,44,52,52459
808,44,67,67553
809,52,72,72215
810,44,54,54215
811,32,80,80371
812,53,22,22152
813,84,15,15041
814,76,48,48031
815,27,21,21497
816,84,43,43249
817,76,32,32115
818,76,31,31588
819,44,68,68341
820,76,82,82176
821,76,82,82094
822,32,02,02291
823,75,19,19126
824,,,86067
825,76,30,30154
826,76,11,11345
827,84,38,38394
828,44,57,57583
829,28,76,76602
830,93,83,83032
831,53,29,29206
832,32,59,59120
833,27,39,39272
834,28,76,76257
835,53,22,22280
836,52,85,85266
837,76,11,11151
838,24,41,41246
839,75,24,24027
840,28,61,61316
841,44,57,57064
842,,,73167
843,84,43,43070
844,76,11,11080
845,27,89,89168
846,,,04100
847,24,28,28323
848,,,52529
849,44,54,54159
850,76,82,82171
851,44,52,52244
852,,,41165
853,84,63,63381
854,24,28,28294
855,52,72,72212
856,44,52,52398
857,28,50,50564
858,11,91,91421
859,76,32,32421
860,27,39,39423
861,27,39,39251
862,76,34,34004
863,28,50,50214
864,53,56,56184
865,27,25,25541
866,27,71,71050
867,24,41,41019
868,32,62,62415
869,27,71,71402
870,27,39,39208
871,,,67549
872,76,82,82184
873,32,62,62670
874,32,62,62861
875,44,68,68307
876,11,77,77339
877,44,08,08460
878,84,42,42283
879,93,06,06140
880,24,45,45097
881,28,14,14027
882,32,02,02081
883,75,87,87134
884,84,26,26131
885,44,54,54237
886,27,70,70162
887,,,50386
888,28,50,50536
889,75,40,40034
890,32,80,80643
891,76,65,65299
892,44,57,57556
893,32,02,02485
894,44,55,55388
895,84,07,07052
896,27,89,89125
897,76,34,34067
898,,,50546
899,24,36,36036
900,53,29,29167
901,27,70,70204
902,52,44,44103
903,75,16,16091
904,84,38,38413
905,32,02,02481
906,75,40,40285
907,28,14,14391
908,75,16,16138
909,,,49194
910,28,61,61373
911,28,14,14036
912,44,88,88517
913,84,38,38050
914,76,31,31207
915,32,02,02662
916,84,03,03023
917,52,85,85031
918,44,68,68288
919,84,73,73177
920,28,27,27071
921,24,36,36105
922,32,59,59017
923,93,05,05066
924,84,15,15181
925,44,57,57673
926,27,21,21701
927,84,07,07309
928,32,62,62741
929,76,46,46147
930,32,62,62511
931,27,89,89475
932,27,25,25617
933,76,31,31353
934,27,89,89096
935,84,73,73030
936,32,62,62688
937,32,59,59111
938,28,61,61302
939,75,40,40195
940,44,88,88307
941,11,77,77262
942,28,50,50109
943,24,41,41053
944,27,21,21114
945,75,86,86054
946,76,09,09249
947,84,63,63141
948,53,29,29301
949,76,31,31224
950,27,70,70172
951,32,59,59560
952,75,64,64412
953,32,60,60191
954,76,09,09181
955,75,47,47049
956,32,62,62111
957,24,37,37068
958,44,88,88197
959,32,02,02231
960,75,24,24139
961,44,08,08461
962,53,35,35353
963,28,50,50490
964,76,12,12069
965,75,64,64364
966,,,14422
967,32,02,02686
968,84,42,42061
969,28,76,76167
970,53,35,35240
971,32,59,59634
972,44,57,57402
973,44,54,54226
974,84,63,63238
975,44,51,51340
976,76,31,31135
977,27,25,25521
978,,,70333
979,32,02,02230
980,44,54,54464
981,27,71,71578
982,32,62,62855
983,32,62,62657
984,84,03,03296
985,28,76,76479
986,53,35,35092
987,27,70,70214
988,84,15,15220
989,84,03,03083
990,44,10,10032
991,44,51,51639
992,28,14,14411
993,84,07,07099
994,32,02,02744
995,44,88,88463
996,53,56,56135
997,44,55,55507
998,53,22,22257
999,32,62,62552
1000,44,57,57156
1001,11,77,77034
1002,27,21,21299
1003,44,55,55150
1004,28,14,14195
1005,75,64,64365
1006,44,54,54068
1007,32,59,59054
1008,76,31,31027
1009,44,55,55038
1010,32,62,62170
1011,75,17,17083
1012,84,01,01406
1013,27,25,25372
1014,44,10,10364
1015,44,10,10412
1016,75,24,24456
1017,52,72,72043
1018,75,19,19165
1019,27,89,89477
1020,32,02,02826
1021,27,70,70405
1022,75,33,33514
1023,84,74,74287
1024,75,40,40038
1025,76,30,30176
1026,,,49105
1027,32,62,62325
1028,32,02,02520
1029,84,15,15179
1030,76,81,81228
1031,84,74,74020
1032,11,77,77224
1033,84,07,07154
1034,52,49,49170
1035,44,88,88517
1036,76,46,46152
1037,76,31,31481
1038,,,49324
1039,52,72,72106
1040,32,02,02104
1041,28,27,27100
1042,75,33,33373
1043,24,18,18244
1044,75,17,17359
1045,44,67,67333
1046,75,33,33120
1047,52,72,72307
1048,84,26,26222
1049,27,71,71419
1050,24,37,37128
1051,76,48,48095
1052,76,31,31234
1053,76,31,31313
1054,52,49,49374
1055,84,15,15268
1056,75,17,17132
1057,75,40,40315
1058,53,22,22219
1059,,,14342
1060,,,85019
1061,44,67,67313
1062,27,70,70238
1063,76,65,65282
1064,84,38,38336
1065,93,84,84148
1066,75,24,24107
1067,44,08,08170
1068,11,77,77359
1069,76,30,30176
1070,84,01,01425
1071,75,40,40272
1072,44,51,51129
1073,53,35,35239
1074,53,35,35306
1075,,,49377
1076,52,53,53101
1077,27,71,71103
1078,28,14,14327
1079,52,49,49302
1080,84,03,03131
1081,84,63,63438
1082,32,62,62088
1083,28,76,76076
1084,84,15,15230
1085,53,35,35252
1086,93,05,05164
1087,32,80,80210
1088,44,88,88050
1089,94,2A,2A323
1090,44,88,88016
1091,75,17,17380
1092,32,62,62243
1093,93,04,04113
1094,84,63,63232
1095,76,12,12293
1096,75,17,17128
1097,84,15,15199
1098,28,76,76666
1099,27,21,21595
1100,84,26,26221
1101,75,47,47002
1102,93,06,06080
1103,75,40,40300
1104,76,81,81173
1105,02,972,97220
1106,28,27,27343
1107,44,67,67264
1108,84,63,63154
1109,28,14,14134
1110,84,69,69100
1111,44,67,67067
1112,84,63,63191
1113,,,62294
1114,28,27,27556
1115,75,24,24291
1116,53,22,22210
1117,76,82,82169
1118,75,40,40133
1119,93,05,05026
1120,44,57,57180
1121,27,70,70035
1122,76,31,31110
1123,53,29,29011
1124,75,64,64001
1125,27,21,21622
1126,75,16,16088
1127,27,90,90011
1128,75,24,24424
1129,76,46,46241
1130,84,63,63319
1131,76,30,30037
1132,75,33,33206
1133,93,04,04133
1134,,,70354
1135,32,02,02652
1136,32,80,80431
1137,44,54,54184
1138,84,15,15053
1139,27,71,71442
1140,84,63,63099
1141,32,02,02467
1142,76,46,46021
1143,84,38,38059
1144,11,94,94002
1145,76,11,11214
1146,75,64,64365
1147,32,60,60552
1148,84,15,15251
1149,32,62,62465
1150,,,05020
1151,24,36,36118
1152,,,50436
1153,32,80,80692
1154,28,61,61038
1155,76,34,34020
1156,,,08294
1157,28,61,61391
1158,32,62,62684
1159,84,07,07148
1160,,,61294
1161,76,30,30058
1162,32,59,59495
1163,44,57,57417
1164,76,66,66115
1165,32,02,02053
1166,,,49194
1167,28,50,50597
1168,76,66,66089
1169,,,69114
1170,75,40,40277
1171,53,29,29211
1172,75,23,23117
1173,28,27,27587
1174,76,31,31049
1175,44,51,51256
1176,93,04,04058
1177,27,25,25199
1178,76,82,82159
1179,,,52259
1180,24,28,28264
1181,75,47,47231
1182,32,02,02232
1183,32,80,80642
1184,84,03,03103
1185,27,21,21409
1186,75,24,24572
1187,52,44,44028
1188,32,62,62796
1189,76,11,11345
1190,84,43,43208
1191,52,72,72019
1192,53,56,56026
1193,28,61,61037
1194,,,60256
1195,44,68,68271
1196,75,24,24560
1197,24,41,41100
1198,76,65,65229
1199,76,46,46129
1200,27,21,21396
1201,75,23,23238
1202,11,77,77154
1203,,,86067
1204,44,52,52004
1205,76,32,32134
1206,32,60,60376
1207,32,59,59135
1208,,,21697
1209,44,54,54367
1210,,,44093
1211,,,24064
1212,,,52314
1213,27,70,70122
1214,76,82,82009
1215,84,74,74145
1216,27,25,25036
1217,27,71,71567
1218,84,74,74082
1219,,,55294
1220,53,35,35111
1221,76,81,81324
1222,76,48,48157
1223,32,62,62683
1224,75,33,33083
1225,84,38,38039
1226,27,58,58274
1227,93,84,84115
1228,28,61,61387
1229,76,31,31385
1230,76,65,65376
1231,52,85,85123
1232,44,51,51080
1233,44,54,54246
1234,93,13,13072
1235,24,45,45058
1236,28,61,61120
1237,44,68,68021
1238,75,33,33192
1239,11,93,93029
1240,84,03,03243
1241,84,03,03170
1242,44,54,54404
1243,32,62,62876
1244,75,40,40159
1245,93,83,83029
1246,32,62,62524
1247,24,36,36087
1248,27,39,39526
1249,27,25,25025
1250,53,35,35101
1251,84,74,74257
1252,32,59,59392
1253,75,40,40133
1254,44,52,52407
1255,75,16,16180
1256,44,51,51438
1257,44,88,88200
1258,24,37,37044
1259,75,64,64413
1260,84,42,42240
1261,27,25,25397
1262,53,22,22160
1263,75,40,40293
1264,27,71,71398
1265,27,70,70107
1266,44,57,57750
1267,44,10,10099
1268,,,56150
1269,44,57,57437
1270,53,29,29188
1271,27,25,25141
1272,32,02,02205
1273,94,2A,2A022
1274,28,27,27061
1275,32,80,80328
1276,53,22,22150
1277,53,35,35351
1278,28,14,14009
1279,32,02,02783
1280,75,64,64057
1281,27,71,71108
1282,28,76,76284
1283,76,12,12124
1284,53,22,22082
1285,44,52,52159
1286,76,32,32440
1287,11,91,91631
1288,32,02,02553
1289,44,51,51054
1290,76,32,32325
1291,,,80816
1292,75,19,19238
1293,28,14,14562
1294,,,69019
1295,52,85,85248
1296,75,33,33279
1297,76,82,82112
1298,84,74,74024
1299,32,62,62416
1300,27,25,25347
1301,28,27,27602
1302,44,57,57711
1303,11,95,95675
1304,53,35,35250
1305,93,05,05136
1306,,,79083
1307,28,61,61485
1308,76,32,32235
1309,76,32,32447
1310,,,49142
1311,52,72,72250
1312,75,64,64344
1313,76,30,30014
1314,84,38,38331
1315,27,21,21256
1316,02,972,97212
1317,28,27,27584
1318,44,55,55158
1319,32,62,62637
1320,75,17,17374
1321,93,13,13085
1322,28,76,76514
1323,44,67,67497
1324,76,66,66007
1325,44,68,68042
1326,44,52,52248
1327,76,34,34315
1328,27,39,39514
1329,44,51,51002
1330,44,54,54116
1331,27,89,89144
1332,32,80,80444
1333,76,30,30158
1334,76,46,46175
1335,28,61,61488
1336,,,23189
1337,76,82,82118
1338,76,30,30242
1339,84,38,38126
1340,28,76,76721
1341,84,15,15083
1342,28,27,27611
1343,32,80,80435
1344,84,43,43242
1345,84,73,73146
1346,75,86,86262
1347,28,14,14614
1348,24,45,45112
1349,44,67,67359
1350,27,21,21503
1351,27,90,90039
1352,28,14,14445
1353,32,62,62556
1354,44,55,55291
1355,,,41227
1356,,,52296
1357,44,54,54492
1358,32,80,80013
1359,11,77,77023
1360,27,58,58121
1361,32,60,60191
1362,11,77,77065
1363,44,57,57377
1364,11,95,95529
1365,44,10,10387
1366,76,81,81230
1367,32,02,02793
1368,44,54,54289
1369,53,22,22008
1370,24,36,36198
1371,32,62,62165
1372,84,74,74178
1373,76,48,48150
1374,,,61320
1375,93,06,06134
1376,24,45,45039
1377,24,41,41189
1378,32,60,60268
1379,32,60,60436
1380,32,02,02761
1381,24,36,36147
1382,84,03,03144
1383,28,50,50588
1384,75,24,24246
1385,32,59,59199
1386,,,48197
1387,28,50,50472
1388,84,07,07281
1389,76,31,31545
1390,75,33,33229
1391,11,77,77442
1392,53,56,56227
1393,11,77,77145
1394,93,04,04031
1395,27,71,71252
1396,,,28381
1397,44,08,08016
1398,53,56,56264
1399,28,61,61086
1400,84,73,73039
1401,84,26,26088
1402,93,06,06004
1403,28,76,76503
1404,75,33,33205
1405,76,32,32319
1406,84,42,42085
1407,76,65,65103
1408,53,35,35202
1409,75,16,16408
1410,,,85027
1411,84,38,38337
1412,84,69,69241
1413,75,24,24405
1414,75,33,33139
1415,24,45,45025
1416,84,43,43010
1417,32,60,60693
1418,76,65,65099
1419,11,77,77280
1420,75,24,24378
1421,27,21,21023
1422,76,31,31031
1423,32,80,80302
1424,44,51,51321
1425,,,24433
1426,24,41,41059
1427,52,72,72346
1428,27,25,25286
1429,76,34,34224
1430,75,40,40298
1431,27,71,71316
1432,84,38,38361
1433,84,42,42337
1434,75,87,87037
1435,94,2B,2B122
1436,75,17,17182
1437,44,51,51177
1438,44,51,51276
1439,76,46,46054
1440,84,73,73007
1441,32,59,59268
1442,24,37,37240
1443,94,2A,2A032
1444,28,27,27248
1445,24,36,36220
1446,28,76,76024
1447,94,2B,2B187
1448,44,88,88443
1449,75,33,33223
1450,44,67,67117
1451,32,60,60304
1452,44,51,51421
1453,11,94,94073
1454,93,13,13023
1455,53,22,22226
1456,32,80,80444
1457,27,58,58029
1458,,,50015
1459,28,27,27222
1460,,,15108
1461,53,35,35030
1462,84,73,73050
1463,84,43,43062
1464,28,27,27330
1465,75,86,86300
1466,75,33,33390
1467,27,39,39188
1468,53,22,22231
1469,84,07,07102
1470,75,17,17222
1471,52,72,72114
1472,27,89,89425
1473,,,12021
1474,76,66,66130
1475,44,54,54527
1476,32,60,60637
1477,84,15,15241
1478,76,09,09279
1479,44,88,88450
1480,44,67,67539
1481,75,33,33226
1482,76,31,31210
1483,32,60,60209
1484,93,83,83023
1485,32,02,02420
1486,44,08,08251
1487,93,06,06157
1488,75,64,64518
1489,84,26,26079
1490,24,45,45064
1491,28,14,14030
1492,27,21,21343
1493,76,12,12004
1494,76,31,31565
1495,76,34,34227
1496,28,27,27072
1497,76,81,81325
1498,84,15,15133
1499,53,35,35190
1500,75,86,86007
1501,,,52427
1502,28,14,14149
1503,24,45,45094
1504,28,14,14291
1505,,,61338
1506,75,86,86173
1507,32,80,80272
1508,44,52,52284
1509,75,64,64372
1510,75,47,47223
1511,44,88,88222
1512,44,67,67385
1513,76,32,32294
1514,27,71,71164
1515,44,67,67473
1516,44,08,08351
1517,32,02,02652
