index,region,dept,com
0,32,62,62232
1,75,64,64104
2,53,56,56226
3,84,26,26372
4,84,38,38038
5,44,51,51506
6,76,32,32360
7,24,41,41173
8,53,22,22348
9,44,55,55266
10,76,48,48041
11,76,32,32332
12,84,43,43002
13,75,17,17219
14,,,61205
15,,,44213
16,44,51,51301
17,93,13,13108
18,,,51494
19,76,30,30024
20,76,32,32194
21,27,89,89342
22,28,27,27473
23,28,76,76046
24,32,59,59287
25,76,46,46319
26,24,28,28053
27,44,52,52415
28,76,81,81076
29,76,11,11334
30,76,30,30001
31,93,05,05006
32,75,24,24462
33,84,07,07165
34,75,19,19098
35,76,12,12066
36,44,10,10405
37,,,02733
38,,,69144
39,75,16,16162
40,75,86,86106
41,53,56,56210
42,32,02,02138
43,52,44,44187
44,44,52,52306
45,32,60,60138
46,27,70,70432
47,27,21,21145
48,75,64,64078
49,76,32,32125
50,52,49,49113
51,53,22,22378
52,84,42,42224
53,84,07,07090
54,24,36,36143
55,28,27,27630
56,76,32,32040
57,52,72,72111
58,28,50,50234
59,84,03,03145
60,84,63,63410
61,32,59,59478
62,,,73150
63,27,39,39379
64,76,66,66185
65,,,49227
66,84,07,07050
67,75,86,86276
68,28,27,27662
69,84,43,43005
70,76,32,32394
71,28,76,76144
72,,,63448
73,76,46,46147
74,27,71,71154
75,93,06,06082
76,27,70,70541
77,76,66,66118
78,24,45,45334
79,76,46,46240
80,,,50524
81,84,07,07280
82,76,81,81083
83,,,14065
84,28,14,14457
85,76,31,31082
86,84,42,42265
87,75,17,17429
88,52,53,53142
89,84,01,01279
90,27,90,90088
91,93,04,04031
92,27,70,70177
93,75,86,86269
94,75,33,33449
95,,,50339
96,27,71,71329
97,84,73,73273
98,11,94,94033
99,44,10,10225
100,75,47,47234
101,76,12,12004
102,28,61,61141
103,75,17,17101
104,76,81,81267
105,53,29,29053
106,76,31,31094
107,44,88,88486
108,75,33,33390
109,24,18,18043
110,94,2B,2B045
111,44,67,67367
112,44,08,08410
113,44,51,51537
114,84,01,01342
115,32,80,80083
116,76,82,82022
117,32,02,02028
118,44,51,51594
119,44,57,57050
120,76,65,65474
121,76,46,46244
122,76,31,31044
123,44,88,88103
124,84,15,15100
125,,,74182
126,84,63,63373
127,76,48,48178
128,32,02,02250
129,28,50,50590
130,75,33,33099
131,27,21,21066
132,75,33,33004
133,24,37,37034
134,27,25,25569
135,,,86056
136,,,61270
137,44,57,57606
138,,,89174
139,24,41,41073
140,28,14,14468
141,84,38,38107
142,44,51,51049
143,52,85,85266
144,28,27,27034
145,76,09,09002
146,32,80,80312
147,44,55,55414
148,27,89,89467
149,32,62,62718
150,27,39,39301
151,27,89,89041
152,28,61,61406
153,52,72,72249
154,84,03,03018
155,32,80,80828
156,32,80,80158
157,76,30,30194
158,28,27,27463
159,53,29,29148
160,27,25,25174
161,24,36,36016
162,52,49,49123
163,28,61,61328
164,53,56,56172
165,32,62,62275
166,11,77,77212
167,75,17,17179
168,32,62,62709
169,24,28,28157
170,44,51,51439
171,,,79027
172,,,55342
173,75,86,86073
174,76,32,32021
175,84,15,15250
176,75,86,86066
177,53,56,56043
178,76,32,32435
179,,,80612
180,75,19,19186
181,27,71,71301
182,27,89,89281
183,27,71,71242
184,53,29,29233
185,75,24,24330
