created_at,updated_at,id,adresse_station,code_insee_commune,coordonneesxy
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",54cf0b85-c0b4-4652-9338-2c10152fa0df,"ASF Aire de Toulouse Sud Nord, 31450 A61 DEYME",31161,"[1.54897648,43.48582412]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",6c06cbcb-3045-41e5-94d5-f6347aa714a5,"  A9, Aire de Marguerittes Sud, Marguerittes  30320  France",,"[4.439411,43.869269]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",44d1a007-dcff-4cd6-8743-59ec1fb5a89b,7 Boulevard de la Reine 78000 Versailles,,"[2.12096,48.809898]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",e32b0fd5-119c-46ee-964d-b2bf6bc082eb,4 Rue Dewoitine 78140 Vélizy-Villacoublay,,"[2.215456,48.782833]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",e06cda58-896c-4119-9d4d-e7f9711b2d18,5 Allée Latécoère 78140 Vélizy-Villacoublay,,"[2.211931,48.785437]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",97b6eafa-9dc5-4811-91f1-26047b764157,1 Chemin des Canissons 83240 Cavalaire-sur-Mer,,"[6.519044,43.172029]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",60fcb48e-93ed-4311-b65b-357bb72f0b56,1 Avenue General de Gaulle 83310 COGOLIN,,"[6.533698,43.251851]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",bcae1eea-0f5f-41f9-855b-a86c08325277,Parking Pré Ponce 74140 Yvoire,,"[6.32492,46.36786]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",ee646484-c292-43b5-8d25-7b25499c24b1,287 Avenue Bel Air 06270 Villeneuve Loubet,,"[7.130067,43.641297]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",228b4182-7325-4ab9-b239-633c93a38d30,1 L'Océane 28160 Dampierre-Sous-Brou,,"[1.0833,48.240665]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",4c81140e-7cae-4629-bdf7-ca96acdba987,540 Avenue de la 2è Division Blindée 30133 Les Angles,,"[4.764347,43.958037]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",2a541d1a-85e1-4440-988d-41433a552d7e,1 Rue Auguste Blanchi 06380 Sospel,,"[7.448297,43.878408]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",a26315ac-22a5-42fd-8d6c-2b995fe8ad4d,45 Avenue de la 2è Division Blindée 30133 Les Angles,,"[4.768425,43.958425]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",6968fd38-e474-4938-9202-ee5d5ba2ee6e,155 Avenue du Languedoc 30150 Sauveterre,,"[4.793617,44.024338]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",e5219c77-2db9-49db-9336-891de8372404,"Avenue Charles de Gaulle, 30133 Les Angles 30133 Les Angles",,"[4.752516,43.962289]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",231e637f-b5b7-4ec2-a53a-0fd8395a4410,1 L'Océane 49480 Saint-Sylvain-d'Anjou,,"[-0.490811,47.500239]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",ad8bdd5c-bcfa-45d2-ba2c-8d124e104584,1 Le Mont de Billy 51400 Les Petites-Loges,,"[4.242644,49.120556]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",e44b5e14-1d4e-42da-bb1e-2054c72093dc,Place Jean Mermoz 83120 Sainte-Maxime,,"[6.634794,43.310428]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",3e14d664-7afa-40b9-ab8d-df85a5760158,1560 Route du littoral 83310 Grimaud,,"[6.577631,43.279636]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",ea409a20-5e7d-469a-a03d-8895d1fd3521,1 Rue Saint Pierre 83240 Cavalaire-sur-Mer,,"[6.534893,43.170946]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",f4c28c7b-4ca6-4ab6-a837-0f47efab9ae1,1 Boulevard Patch 83350 Ramatuelle,,"[6.661056,43.227475]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",aee207a9-35cc-4755-add6-2655655e3ffe,1 Place Léon Martel 83580 Gassin,,"[6.585713,43.230239]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",378d6392-15dd-444f-b1a4-8b16d7a3f109,1 Avenue de la mer 83310 Grimaud,,"[6.57743,43.274761]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",fbd13528-b377-4143-b0b4-0ca6c37ca2c9,1 Place des remparts 83310 Grimaud,,"[6.521344,43.272782]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",65053104-d122-43e3-a79b-5ba1ad52308c,1 Chemin de l'Estagnet 83990 Saint-Tropez,,"[6.66536,43.26479]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",e69c75ef-73c8-4104-ab9e-a9a90cd8c454,67 Boulevard de Gigaro 83420 La Croix-Valmer,,"[6.599485,43.184096]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",fc66df09-1f9b-486a-b33e-c357988f129b,2 Rue du Train des Pignes 83420 La Croix-Valmer,,"[6.567151,43.206338]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",1913a6ff-a60d-4579-b7e1-afa6aea9a55d,2 Boulevard Sainte Anne 83480 Puget-sur-Argens,,"[6.706553,43.443935]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",d5d9c33a-cd7f-4ea2-86d8-26cbbb380203,1 Avenue General de Gaulle 83990 Saint-Tropez,,"[6.635375,43.27044]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",9177088e-1448-41f8-beef-c6d5d9c16d5b,4 Rocade Charles de Gaulle 84000 Avignon,,"[4.821979,43.929502]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",a9049a74-72f3-467b-b339-8cc71a4f9f9a,0 Rue Paul Pamard 84000 Avignon,,"[4.813005,43.928623]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",7df7326d-855f-43b6-81b6-4a9a063d08f8,0 Rue Pierre Seghers 84000 Avignon,,"[4.838556,43.927832]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",3e4a1322-3887-429a-84db-553ef5a8becf,100 Avenue de la Trillade 84000 Avignon,,"[4.82072,43.935617]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",cae79cae-f82e-4cf1-9c5b-c1fc161674df,19-1 Boulevard Gambetta 84000 Avignon,,"[4.805081,43.936094]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",44ca45a1-ec1e-42a8-8274-aea299cc84c2,163 Avenue Tarascon 84000 Avignon,,"[4.809387,43.930192]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",9216351d-fea3-49de-ae28-85a4f912a5e1,6 Rue Universelle 84000 Avignon,,"[4.809693,43.936482]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",d89f8b05-a523-484f-9e4c-fb406a1b3288,0 Avenue Eisenhower 84000 Avignon,,"[4.799193,43.929592]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",5c3bfc40-52c5-4bdb-8b08-4a334e9b13da,Rue De Saint-Mandrier 83140 Six-Fours-les-Plages,,"[5.840185,43.111404]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",58dd68fd-71af-45ab-b8a9-67dab83c5c7f,D252 83840 Le Bourguet ,,"[6.518632,43.782955]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",a3d621c1-5ab8-4c64-ad31-7e6c54afada1,Route de Vienne 38460 Chamagnieu,,"[5.16758,45.6793]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",288ed923-adad-4c7e-81e8-ca5447bfb31c,Chemin du Grand Clos 07700 Saint-Martin-D'Ardèche,,"[4.568563,44.301353]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",e8d3c6b4-7d11-42cb-93ed-f0642b347a11,Place des fées 73490 La Ravoire,,"[5.965906,45.57173]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",78133d85-8598-499d-b641-95a4d32feb5e,Allée de l'Eden (Flunch) 38053 Bourgoin Jallieu,,"[5.24054,45.59485]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",da84dcfa-d727-439e-b927-f71c60fdc687,Rue Pré Benevix - Cœur de ville 74300 Cluses,,"[6.5813048,46.0610345]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",eb4a57cc-58e1-42ac-bd38-9d2a6b8974fb,"  Route de Flaine, Arâches-la-Frasse  74300  France",,"[6.68976,46.00658]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",581c63ea-121f-4032-937a-3e61f962b848,"  Boulevard du Fier, Annecy  74000  France",,"[6.11669,45.91755]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",244e4266-564a-42ef-8062-86df84500a99,Parking Office Du Tourisme 04400 Uvernet-Fours,,"[6.601126,44.370105]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",15d96f4c-03f7-432f-a0ad-31081760f82a,Route de Grenoble 05220 Le Monêtier-Les-Bains,,"[6.510674,44.97595]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",d928716f-41dd-4a51-92d7-96ff7841de50,"  Square Général Leclerc, Vichy  03200  France",,"[3.41922,46.1225]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",cbe28cce-9a08-413a-8224-9f16105e0448,"4  Rue Saint-Joseph, Lorette  42420  France",,"[4.58146,45.5135]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",96e2e222-099f-4d07-8d32-139095aee5ce,"Mayres, Place du Chambon 07330 Mayres",,"[4.11127,44.6663]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",01d9aeb6-d680-4f92-b141-d3a9ed074160,Chemin de Halage 07300 Mauves,,"[4.831528,45.038472]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",24966e0d-bc2c-4f4d-8c82-de34f825b34d,Rue Des Bailes 83840 La Bastide ,,"[6.625908,43.738191]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",2fc6dc5b-e203-43c1-b9a8-d64435ec130a,Parking Gymnase du Rosay 74700 Sallanches,,"[6.628053446,45.94257249]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",8f595af7-878a-4758-901f-f0259d2ea435,Le Sauze 04400 Enchastrayes,,"[6.680762,44.374162]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",c57e0be5-2b09-492c-806c-259b5834e6e5,"  Place du 18 Août 1944, Scionzier  74950  France",,"[6.54918,46.056864]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",5ddd3511-79bd-49b6-a353-5190c985b997,Rue Ferraillette 83870 Signes ,,"[5.862383,43.29057]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",4d8e18c6-9298-42b6-b03b-eed1f1d7cf67,"2  Route de Vignières, Annecy  74000  France",,"[6.13666,45.9078]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",9426a238-3daf-43c4-b2da-a9f906723907,Allée Jean Mermoz 74960 Annecy Cran-Gevrier,,"[6.09222,45.9064]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",be420ed1-a8d3-4820-97da-a2f7006e1a03,"  Place du Marché, Saint-Julien-Chapteuil  43260  France",,"[4.06222,45.03316]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",298ba5d5-3e14-4f42-adda-1701281e4a7b,Parking les Lauriers 07220 Viviers,,"[4.6887,44.484416]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",d75a7ec8-7743-4bcd-a14e-a49fe7903cd0,Place Jardin Neptune 07700 Bourg-Saint-Andeol,,"[4.64673,44.3671]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",9af26cd7-90b4-4cf1-9293-0e64cab4ceaa,Avenue Julien Jourdan 83860 Nans-Les-Pins ,,"[5.785255,43.371555]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",7db1872f-f3e9-44c0-a614-947cedbe82a3,"  Place de la République, Banon  04150  France",,"[5.62843,44.0379]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",ebdf14af-913d-428e-9f30-3d26ff5c7188,"  Place Charles de Gaulle, Ruoms  07120  France",,"[4.342456,44.453956]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",4dcde224-19aa-4baa-9529-aad556459b1e,Chef Lieu 74230 Manigod,,"[6.3705,45.8595]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",7be4dc41-4335-4ff3-87d5-c996f38e39ad,Avenue du 8 mai 1945 51520 Saint-Martin-sur-le-Pré,,"[4.355112,48.97935]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",2eeb489d-8834-4671-be53-e25c429a8937,"  Route du Théâtre, Saint-Paul  97434  France",,"[55.2237,-21.0401]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",df231468-81da-412d-a72c-b87e5fa34966,Rue de la Gare 74000 Annecy,,"[6.12208,45.8991]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",1418586d-a54d-469c-97f4-c2bbaec5a259,"RUE JEAN MONNETPARC DES COURATIERS RD 957, CENTRE COMMERCIAL CORA 41000 BLOIS",,"[1.30051,47.62061]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",3dabe5b5-346c-4fe1-af50-6673ce60b75e,"86  Avenue Colonel Fabien, Carnoules  83660  France",,"[6.185457,43.300398]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",cf5f7cc9-bfe7-463f-850c-e3dfe1e7f5c2,"  Place Emile Loubet, Montélimar  26200  France",,"[4.748979,44.557306]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",a1872f4d-ecb0-40a0-a31f-fa5f5adfcd67,Rue Du Château Picard 38200 Seyssuel,,"[4.84452,45.5589]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",07355f1d-2616-4845-8521-f3e061a1825d,Parking le Pertuiset 42240 Unieux,,"[4.2511196,45.4093142]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",f935f1f2-c86e-4cb5-bc9a-549768375a4c,"  Avenue du Léman, Bonne  74380  France",,"[6.32021,46.16807]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",59fa676d-cd50-4314-b35b-761da57fa9e0,Parking supérette 42240 Saint-Maurice-En-Gourgois,,"[4.1807817,45.4033238]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",e7114f24-1d22-4430-9603-bf300e5e582e,"  Avenue Maréchal Foch, Le Puy-en-Velay  43000  France",,"[3.886758,45.034657]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",f8f8976b-1e6c-4176-825c-6f4af35e11df,Parking du Palais Idéal 26390 Hauterives,,"[5.0291181,45.2558692]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",42332d3c-702a-461d-86f4-b03c1a9dcfa0,Parking rue Claudius Remilleux 42290 Sorbiers,,"[4.4499632,45.4877239]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",d28d2bda-228f-4403-8c2a-a5023f1e7863,Place Jean Perraud 38940 Roybon,,"[5.24093,45.258479]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",76dd82bd-d07b-46ec-9fd0-f81d30b8a0f0,"  Chemin du Jonquet, Toulon  83200  France",,"[5.910646,43.142256]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",95dc2147-9aae-4612-830b-ef6dc4b56946,Place Des Romains 74000 Annecy,,"[6.12163,45.908]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",031baac1-248c-4e57-90e3-34981100535e,74 Boulevard Gambetta 03320 Lurcy-Lévis,,"[2.9377,46.7277]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",49a04bd4-7680-42b0-810f-0c73f04f5cf4,Rue Gustave Aubert 83470 Pourcieux ,,"[5.784954,43.471881]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",8835e465-d29f-4c9b-8cbb-66943ceb4efd,"  Route de la Pivotée, Septème  38780  France",,"[5.00383,45.5539]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",bcd55351-6c0c-49c0-ab20-b4bb94e3c998,Place André Chaize 38620 Saint-Geoire-En-Valdaine,,"[5.636785,45.455873]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",f6a504ea-45e5-4a1a-b343-b695dbf53c80,"Parking ""Cœur de Ville"" 74700 Sallanches",,"[6.633215,45.93724]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",9c9f83f4-179a-43e5-9d84-c166da5fd8ae,Rue Célestin Linder 1873-1951 42780 Violay,,"[4.357859,45.852431]"
"July 23, 2024, 11:31 AM","July 23, 2024, 11:31 AM",c002e971-45fb-45b6-8007-86cb7221bb48,Place Du Marche 38850 Charavines,,"[5.513731,45.428405]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",89568258-1b1b-4cd2-823d-bd70665e9df7,12 Rue de l'étoile 84000 Avignon,,"[4.876349,43.940161]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",33ebacc0-9094-458e-bf04-bd4d048d750c,5 Rue Martin Luther King 84000 Avignon,,"[4.796952,43.943149]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",cacc9317-7796-4cc5-a0b0-b0692b67a4f4,0 Boulevard Denis Soulier 84000 Avignon,,"[4.816939,43.942256]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",83d819b9-db11-4448-a6c0-0fdcae6e4645,0 Rue René Cassin 84000 Avignon,,"[4.843686,43.946211]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",9084a622-7477-4680-a72c-ece287d359ce,28 Boulevard de l'Oulle 84000 Avignon,,"[4.800516,43.949101]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",16c9eef7-dfdf-413c-9944-1af50d8de363,0 Boulevard Marcel Combe 84000 Avignon,,"[4.833258,43.952128]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",fe993d46-9f7c-4469-b752-752c12ffb6da,1 Chemin de la Barthelasse 84000 Avignon,,"[4.796913,43.952673]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",7e054d82-8992-4394-a8fa-3df38a16a442,57 Avenue de la Synagogue 84000 Avignon,,"[4.823253,43.953885]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",099d5127-006f-4b70-8dea-13e7dc693b95,"221 rue victor hugo, 59174 La Sentinelle",59564,"[3.480509,50.342619]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",cd080016-f140-49ef-b1aa-7c0fbe61d953,1 D943 84160 Lourmarin,,"[5.36349,43.765756]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",f0fa317d-2574-4e79-92a8-543bc25ad6ee,310 Avenue Jean Monnet 84310 Morière,,"[4.899412,43.940189]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",e28ad91d-c956-42b6-a2ed-134008b67b9d,"  Route de Steenwerck, Bailleul  59270  France",,"[2.74822,50.72418]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",5d2ffe0b-d5a5-41cf-80cd-7218a55cbfcf,1 Aire Service Longeville Sud 57740 Longeville-lès-Saint-Avold,,"[6.660772,49.132656]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",1b9ec628-af27-47eb-9a02-38744952ea8a,4 Aire de Manissieux 69800 Saint-Priest,,"[4.977306,45.698458]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",e7456177-879f-4a91-aee8-b99a0206b216,1 Chemin de Mauguette 69800 Saint-Priest,,"[4.974066,45.698131]"
