,Created At,Updated At,ID,Adresse Station,Code Insee Commune,CoordonneesXY,region,dept,com
25,"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",eb97d3b6-865d-4fee-9fad-da935d847292,[Avenue Denis Therme][73630][Le Chatelard],,0101000020E6100000ED0DBE30998A1840AA9B8BBFEDD74640,76,32,32333
26,"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",4620b720-69c5-4554-b104-6aed916fe141,[Route de Sainghin] [59493] [VILLENEUVE D'ASCQ],,0101000020E6100000CFF6E80DF7510940A7CCCD37A24D4940,11,77,77486
27,"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",29346d5c-f9ba-4dae-99f0-98d7999dc758,[761 Route des Vernes][74370][Pringy],,0101000020E61000003145B9347E81184026A60BB1FAF74640,32,60,60661
28,"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",d2957c58-2303-46c4-8a78-527ada0a344f,0 avenue du Général de Gaulle 78000 Versailles,,0101000020E610000013D21A834E0801405E471CB281664840,52,72,72039
29,"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",5d0007eb-dfc3-4815-8785-f39333bc0810,61 - 57 Rue de la Bonne Aventure 78000 Versailles,,0101000020E6100000D7A3703D0A370140A227655243674840,75,40,40075
30,"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",a2321d44-86c7-42ff-bfc1-fbf804d07c26,Parking Gaumont 83120 Sainte-Maxime,,0101000020E6100000B08C0DDDEC7F1A40F2B6D26BB3A94540,93,06,06098
31,"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",54cf0b85-c0b4-4652-9338-2c10152fa0df,"ASF Aire de Toulouse Sud Nord, 31450 A61 DEYME",31161,0101000020E61000009FF8BD8F9BC8F83F0581197C2FBE4540,84,01,01202
32,"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",6c06cbcb-3045-41e5-94d5-f6347aa714a5,"  A9, Aire de Marguerittes Sud, Marguerittes  30320  France",,0101000020E6100000B8020AF5F4C111409C36E33444EF4540,84,07,07026
33,"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",44d1a007-dcff-4cd6-8743-59ec1fb5a89b,7 Boulevard de la Reine 78000 Versailles,,0101000020E610000048FE60E0B9F70040438CD7BCAA674840,76,31,31420
34,"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",e32b0fd5-119c-46ee-964d-b2bf6bc082eb,4 Rue Dewoitine 78140 Vélizy-Villacoublay,,0101000020E6100000D9D0CDFE40B90140629D2ADF33644840,44,88,88209
35,"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",e06cda58-896c-4119-9d4d-e7f9711b2d18,5 Allée Latécoère 78140 Vélizy-Villacoublay,,0101000020E6100000901150E108B20140C0081A3389644840,44,52,52183
36,"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",97b6eafa-9dc5-4811-91f1-26047b764157,1 Chemin des Canissons 83240 Cavalaire-sur-Mer,,0101000020E610000077BD344580131A40577BD80B05964540,75,86,86080
37,"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",60fcb48e-93ed-4311-b65b-357bb72f0b56,1 Avenue General de Gaulle 83310 COGOLIN,,0101000020E61000002FC37FBA81221A40823B50A73CA04540,75,47,47211
