Location name,evse_id,spot_connector_id,tariff_id,src_id
Shell Honegger - Le Havre,FR*SHE*E328*4,67488091,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Criquetôt - Le Havre,FR*SHE*E182*3,59428856,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Chillou - Le Havre,FR*SHE*E297*3,62438474,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell- France Aire de Sommesous HW,FR*SHE*E388*3,68534829,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Aire de Bordeaux-Cestas Ouest A63,FR*SHE*E85*4,66988173,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Honegger - Le Havre,FR*SHE*E330*1,64599766,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Aire de Bordeaux-Cestas Est A63,FR*SHE*E83*2,110747440,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Aire de Haras HW,FR*SHE*E69*2,66948721,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Chillou - Le Havre,FR*SHE*E297*2,62438473,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Aire de la plaine du Forez Ouest HW,FR*SHE*E158*2,67381703,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Aire de la sainte Victoire HW,FR*SHE*E76*1,55631721,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Criquetôt - Le Havre,FR*SHE*E182*1,59428854,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Aire de la sainte Victoire HW,FR*SHE*E73*1,55631713,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Etretat Grand Val – Le Havre,FR*SHE*E13774*1,112569519,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell- France Aire de Rumaucourt HW,FR*SHE*E33*1,66988151,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell- France Aire de Sommesous HW,FR*SHE*E45*1,68534814,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Aire de Béziers-Montblanc SUD,FR*SHE*E174*2,66948775,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Parvis - Le Havre,FR*SHE*E310*3,65811401,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Aire du Domaine d'Harcourt HW,FR*SHE*E80*2,66988167,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Aire de Béziers-Montblanc SUD,FR*SHE*E176*3,66948782,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Aire de Béziers-Montblanc SUD,FR*SHE*E175*2,66948778,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Aire de Béziers-Montblanc NORD,FR*SHE*E163*3,67229934,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Criquetôt - Le Havre,FR*SHE*E183*4,59428860,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Aire de Bordeaux-Cestas Ouest A63,FR*SHE*E88*1,66988178,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Aire de la sainte Victoire HW,FR*SHE*E74*2,55631716,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Aire de Roussillon,FR*SHE*E200*1,67010097,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell AIRE DES PLAINES DE BEAUCE,FR*SHE*E217*1,64197627,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Chillou - Le Havre,FR*SHE*E299*2,62438477,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
